ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98531,Centralia,WA,32485,28,116.8,61,22.5,69,62.8,18,5.1,21,13.7,40,23.3,27,21806,77,2.5,43,37.7,56,89.1,33,56,25,12,83,86.1,43,0.2,23,0.5,50,8.9,80
98631,Long Beach,WA,32388,28,125.8,65,30.4,98,66.9,23,4.8,11,16.2,51,25.4,38,3450,28,2.1,3,48.9,98,85,15,58.3,34,13.3,91,91.8,56,0,2,2,78,3.4,62
98339,Port Hadlock,WA,32645,29,121.6,63,25.5,91,71.3,32,4.9,14,11.5,29,22.3,22,3386,27,2.4,20,39.2,71,86.8,22,58.3,34,15.6,97,89.1,49,0.1,17,2.2,80,1.3,40
98564,Mossyrock,WA,32838,29,120.6,62,22,63,74.7,42,5.2,29,11.5,29,25,36,2212,14,2.7,63,38.9,69,104.7,91,61,48,11,73,91.9,57,0.8,41,0,12,2.8,58
98850,Rock Island,WA,32788,29,119.9,62,25.9,93,75.9,46,5.1,23,7.1,7,27.3,47,1895,9,3.1,91,30.3,7,102.6,88,65,74,8,29,61.5,18,0,0,0.7,57,36.2,94
98201,Everett,WA,33158,30,165,79,26.2,94,41,5,4.3,4,15.7,49,24.5,33,30252,86,2.5,44,32.5,14,105,91,41.2,4,16.7,98,80.4,35,2.8,59,3.4,86,6.2,74
98520,Aberdeen,WA,33169,30,95.6,46,21.8,60,64.9,20,5.4,42,12.4,33,23.1,26,21650,76,2.4,27,36.7,45,96.6,71,54.2,20,14,94,84.9,41,0.3,27,1.3,71,7.2,76
98661,Vancouver,WA,32975,30,145.9,73,24.3,86,42.3,5,4.6,7,18,57,22.8,25,36762,91,2.4,28,32.3,13,93.1,54,50.2,13,15.5,97,78.2,32,2.5,57,3.6,87,9.9,81
98465,Tacoma,WA,33404,31,161,78,23.3,78,48.1,7,4.6,7,24.4,72,29.8,58,6502,45,2.1,3,37.5,54,88.9,32,50.9,14,15.9,98,75,29,8.3,74,4.9,91,5.3,71
98816,Chelan,WA,33235,31,175.4,82,26.2,94,61.9,17,4.7,9,21.4,66,30.4,60,6220,44,2.5,38,39.8,77,89.1,33,59.6,40,13.1,90,74.9,29,0.5,34,0.4,46,21.5,90
98831,Manson,WA,33779,32,169.9,80,28.1,97,66.1,22,5.1,21,15.7,49,23.7,29,3224,26,2.9,83,34.4,24,103.5,90,60.4,45,8.6,37,60.2,18,0,0,0.2,31,37,94
98952,White Swan,WA,33700,32,94.7,45,14.5,0,59.2,14,5.6,55,10,21,18.8,9,2693,20,4.3,99,21.8,0,108,94,53.4,19,7.5,22,25.8,5,0.5,34,0.2,34,10.5,82
98237,Concrete,WA,34038,33,126.4,65,30.3,98,70.6,30,4.9,13,10.1,21,18,7,2856,22,2.6,50,36.5,43,103.7,90,57.9,33,14.2,95,93.5,62,0,3,0,0,1.3,38
98610,Carson,WA,34031,33,134.1,69,23.4,79,74.6,41,5.1,22,13.1,37,27.8,49,2746,21,2.5,34,36.6,44,98.3,78,58.4,35,13.4,92,88.8,49,0.1,17,0.3,39,5,70
98557,Mccleary,WA,34293,34,109.4,57,22.9,73,72.8,36,5.4,44,9.5,18,25.1,36,2863,22,2.6,50,38.3,63,86.2,19,56.1,26,14.5,95,91.7,56,0.2,23,0,8,2.2,52
98404,Tacoma,WA,34483,35,109.1,57,27.2,96,60.5,15,5.1,20,8.3,12,18.6,9,30646,87,3,90,31,9,90.5,40,48.9,11,14.1,94,49.3,12,12.6,79,12.8,97,13.3,85
