ZipCode,Hispanic/Latino,White,Black,Native American,Asian,Hawaiian/Pacific Islander,Other,Multiracial
98563,1.70,93.80,0.10,2,0.90,0.10,0,1.80
98564,4.50,92,0.30,2,0.30,0,0.10,1.10
98565,4,92.20,0.20,2,0.20,0.80,0.20,0.80
98568,5.20,73.30,0.40,17,0.30,0.10,0.20,3.60
98569,1.70,91.60,0.60,2,1.20,0.10,0.30,2.30
98570,3.40,93.10,0.10,1,0.30,0,0.10,1.90
98571,6.30,64.90,0.20,22,1,0.60,0,4.80
98572,1.70,93.60,0.20,2,0.70,0.50,0,1.50
98576,2.80,91.70,0.50,1,0.70,0.10,0.10,3.20
98577,5.60,86.20,0.10,2,3.80,0.10,0,2.20
98579,6.60,86.90,0.90,2,0.70,0.20,0.20,2.90
98580,3.70,88.20,1.10,2,1.20,0.50,0.30,3.20
98584,6,83.80,1.50,5,0.90,0.40,0.20,2.40
98586,8.90,78.90,0.10,4,4,0,0,3.70
98587,1.40,6.30,0,90,0.90,0,0,1.10
98589,3.30,91.30,0.50,1,1.20,0.10,0.10,2.20
98591,3.20,93,0.30,1,0.20,0.10,0.10,1.70
98595,2.60,91.50,0.30,3,0.70,0.10,0,2.30
98596,5.30,91,0.10,1,0.50,0.10,0.20,1.70
98597,4.40,87.40,1.10,2,1.20,0.60,0.10,3.60
98601,1.60,94.20,0.40,1,0.30,0.20,0.10,2.10
98603,2,93.60,0.10,1,0.50,0.30,0.70,1.60
98604,2.90,93.40,0.40,1,0.70,0.10,0.10,1.70
98605,17,79.20,0.20,2,0.40,0,0,1.30
98606,1.60,94.80,0.30,0,0.90,0.20,0.10,1.80
98607,2.60,91,0.60,1,3,0.20,0.10,1.90
98610,4.80,88,0.50,3,0.40,0,1.20,2.30
98611,2.60,93.20,0.20,1,0.40,0.20,0,2.20
98612,1.90,93.80,0.30,1,0.40,0,0,2.20
98613,5.30,89.60,0,1,0.60,0,0.60,2.50
98617,3.90,86.10,0.30,3,2,0,0.10,4.40
98619,3.10,80.50,0.80,12,0.20,0,0,3.30
98620,4.80,86.80,0.20,5,0.60,0.40,0.40,2.20
98624,4.80,90.80,0.30,1,0.40,0.10,0,2.30
98625,1.90,94.50,0.40,1,0.40,0.10,0,1.60
98626,4.60,90.20,0.50,1,0.80,0.10,0,2.20
98628,3.40,91.90,0,4,0,0,0,1
98629,3.50,92.30,0.30,1,1,0,0.10,2.10
98631,4.10,90.70,0.10,1,1.10,0,0.20,2.70
98632,4.90,88.60,0.60,1,1.90,0.10,0.10,2.30
98635,4,86.20,0.10,4,1.40,0.10,0.40,3.60
98638,3.40,87.70,0.70,3,0.70,0.20,0.10,4.20
98640,3.70,93,0.10,2,0.40,0.10,0,1.10
98642,2.30,93.10,0.40,1,1.30,0.10,0.10,2
98648,3.40,90.50,0.10,3,0.60,0,0.40,2.20
98648,3.40,90.50,0.10,3,0.60,0,0.40,2.20
98649,2.60,94,0.10,0,0.30,0.10,0,2.40
98650,4.10,92.40,0,1,0.50,0.10,0.40,1.80
98660,6.10,85.60,2.30,1,1.40,0.30,0.10,2.90
98661,9.70,78.60,3,1,3.40,0.60,0.20,3.50
98662,4.20,86.20,1.80,1,3.80,0.60,0.10,2.50
98662,4.20,86.20,1.80,1,3.80,0.60,0.10,2.50
98663,6.40,85.40,2,1,1.90,0.40,0.10,2.90
98664,4.90,85.40,2.20,1,3.60,0.40,0.20,2.60
98665,7.30,84.60,2.30,1,2.10,0.30,0.10,2.60
98671,2.30,93.30,0.30,1,0.80,0.10,0.20,1.90
98672,11.40,84.90,0.10,1,0.60,0.10,0.10,1.90
98673,2.30,85.90,0,9,0,0,0,2.30
98674,6.40,90.10,0.20,1,0.60,0.10,0.10,1.70
98675,2.60,91.50,1.90,1,0.60,0.10,0.20,2.40
98682,4.20,85.10,1.80,1,4.30,0.50,0.20,3.20
98683,4.50,80.40,2.30,1,8.60,0.40,0.20,3
98684,4.40,84.90,2,1,4.50,0.70,0.10,2.70
98685,3,90,1.20,1,2.70,0.10,0.10,2.40
98686,4.60,89.40,1,1,2.20,0.10,0.10,2.10
98801,19.80,76.50,0.20,1,0.90,0.10,0.10,1.50
98802,13.80,83.20,0.20,1,0.60,0.10,0.10,1.30
98812,42,50.60,0.30,5,0.30,0,0,1.80
98813,60.50,36.40,0,1,0.30,0.10,0.40,0.90
98815,18.20,78.90,0.20,1,0.40,0.10,0.10,1.50
98816,21.70,74.90,0.10,1,0.50,0.10,0.20,1.50
98822,18.50,78,0.30,1,0.50,0,0.10,1.40
98823,11.60,84.90,0.30,1,0.60,0.10,0.20,1.60
98826,6,91.20,0.10,1,0.30,0.10,0.20,1.40
98830,5.20,91,0,1,0,0.20,0,2.20
98831,36.60,61,0,1,0.30,0,0.20,0.90
98837,21,72.80,1.80,1,1.20,0,0.10,2.20
98840,10.90,78.10,0.40,8,0.20,0,0.10,2.70
98841,11.20,65.70,0.20,19,0.80,0.10,0.20,2.90
98843,46.90,51.30,0.10,1,0.30,0,0,0.60
98844,13.90,80.50,0.30,3,0.40,0,0.40,1.70
98845,2.10,91.60,0,0,5.30,0,0,1.10
98846,29,66.60,0,1,0.90,0.20,0.10,1.80
98847,23.80,73.60,0.10,0,0.30,0.50,0.10,1.30
98848,49.10,48.50,0.10,0,0.70,0,0.10,1.10
98850,34.90,62.20,0,1,0.30,0,0,1.30
98851,9.40,86,0.50,1,0.20,0,0.10,2.60
98852,0,98,0,0,1,0,0,1
98855,12.30,83.70,0.10,2,0.40,0.10,0.20,1.60
98856,1.30,95.80,0.10,1,0.40,0,0.20,1.20
98857,54.60,43.60,0,0,0.70,0,0.10,0.60
98858,8,88.60,0.40,1,0.40,0,0.10,1.60
98860,2.70,93.40,0,1,0.80,0,0,2.30
98862,1.80,96.60,0.10,0,0.40,0.10,0,0.50
98901,42.80,50.40,2.40,2,0.60,0,0.10,1.80
98902,28.80,65.20,1.40,1,1,0.10,0.10,1.90
98903,17.60,77.10,0.50,2,0.60,0.10,0,2
98903,17.60,77.10,0.50,2,0.60,0.10,0,2
98908,10.10,85.20,0.70,1,1.50,0.10,0.10,1.80
98922,1.90,94.70,0.30,1,0.40,0.10,0.20,1.10
98922,1.90,94.70,0.30,1,0.40,0.10,0.20,1.10
98923,29.70,68.50,0,1,0.20,0,0.20,0.80
98925,6.50,90.60,0,1,1.20,0.20,0,0.70
98926,5.40,88.10,0.80,1,2.70,0.10,0.20,1.80
98930,59.30,38.20,0.30,1,0.70,0.10,0.20,0.70
98932,69.10,25.80,0,4,0.10,0,0,1.10
98933,35.20,35.40,0.30,25,0.30,0,0,3.50
98934,9.40,86.60,1,1,0,0,1,0.80
98935,71.80,24.30,0.10,2,0.40,0,0,1.40
98936,25.60,70.90,0.50,1,0.40,0,0,1.40
98936,25.60,70.90,0.50,1,0.40,0,0,1.40
98937,8.20,88.60,0.20,0,0.40,0.10,0,2.20
98938,50.80,46.60,0.10,1,0.30,0,0.40,1.30
98941,1.40,95.30,0.90,1,0,0.20,0,1.60
98942,9.80,86.20,0.30,1,0.60,0,0.10,1.90
98944,66.60,31.20,0.20,0,0.50,0,0.10,0.80
98946,3.50,93.30,0,1,0,0,0.20,2.20
98947,41.30,56.10,0.10,1,0.40,0,0.10,0.80
98948,62.20,20.10,0.30,15,0.40,0,0.20,1.90
98951,51.90,23.20,0.20,20,2.20,0,0.10,2.40
98952,14.50,21.80,0.50,58,0.60,0,0,4.40
98953,31.80,62.50,0.30,2,0.70,0.10,0.50,2.10
99001,3.40,81.90,3.20,3,2.40,0.80,0.20,4.80
99003,1.40,95.70,0.10,1,0.20,0,0.10,1.50
99003,1.40,95.70,0.10,1,0.20,0,0.10,1.50
99004,3.50,87,1.50,1,4.10,0.20,0.10,2.30
99005,1.50,95.50,0.10,1,0.70,0.10,0.10,1.50
99006,1.90,94,0.10,1,0.20,0.10,0.20,2
99011,8.20,76.20,7.10,1,3.30,0.30,0.50,3.90
99016,2.10,94,0.40,1,0.80,0.10,0.10,1.80
99016,2.10,94,0.40,1,0.80,0.10,0.10,1.80
99017,0,95.90,0,2,0.50,0,0,1.40
99019,2.10,92.90,0.70,0,2.30,0.10,0.10,1.60
99021,1.80,94.40,0.40,1,0.70,0.10,0.20,1.60
99022,3.40,89.30,2.60,1,1.60,0.10,0.20,1.90
99025,1.80,93.80,0.30,1,0.80,0.10,0.20,1.90
99026,1.30,95,0.50,1,0.70,0.10,0,1.50
99027,1.60,94.40,0.10,1,1.20,0,0.10,1.60
99029,2,92.50,0.20,2,0.40,0.30,0,2.20
99030,1.20,97.20,0.10,0,0,0,0,1.30
99031,1.30,95,0,1,0.50,0,0.20,1.80
99032,2.80,93.10,0,2,0.30,0,0,1.80
99033,1.40,93.30,0.30,2,0.80,0.10,0,2
99037,2,92.50,0.80,1,2.30,0.10,0.10,1.60
99040,3.50,11.10,0.40,81,1.10,0.10,0,2.60
99101,1.40,93.80,0.50,1,0.90,0,0.20,2.10
99103,0.70,94.50,0.30,2,1.60,0,0,1.40
99105,10.50,89.50,0,0,0,0,0,0
99109,1.60,92.80,0.10,2,0.50,0.10,0.30,3
99111,1.70,94.40,0.20,1,1.40,0,0.10,1.40
99113,1.20,96.60,0,1,0.40,0,0.10,0.50
99114,1.70,93.20,0.20,2,0.50,0.10,0.20,2.50
99115,3,94,0.50,1,0.20,0,0,1.50
99116,3,58,0.30,34,0.40,0.10,0.10,4.40
99117,2,93.20,0.40,1,0.50,0.20,0,2.20
99118,4.40,82.90,0.30,4,0.80,0,4.20,3.60
99119,1.10,81.60,0.30,15,0.20,0.20,0.10,2
99122,1.80,95.30,0.30,1,0.20,0,0.20,1
99125,4.40,86.50,1.40,0,5.60,0,0,1.80
99130,0.90,96.70,0,1,0.10,0,0.20,1.50
99131,0.50,92,0,5,0,0,0,2.70
99133,4.50,85,0.50,8,1,0,0.10,0.80
99134,1.60,96.10,0,1,0.20,0,0,1.10
99137,1.30,86.90,0.30,4,0.30,0.30,2,4.90
99138,2.10,26.60,0,69,0,0.10,0.10,2.40
99139,2.20,92.30,0.20,1,0.70,0,0,3.20
99140,3.20,22.10,0.20,68,0,0,0,6.60
99141,2.20,91.20,0.30,3,0.30,0.20,0.50,2.70
99143,0.40,95.70,0,2,0.40,0.40,0.10,1.40
99148,1.80,92.60,0.20,2,0.60,0.10,0,2.60
99153,1.40,95.50,0,1,0.90,0,0,1.40
99155,3.70,8.70,0.10,86,0.10,0.10,0.10,1.60
99156,2.50,93.80,0.10,1,0.60,0.20,0.10,1.50
99157,4.80,90,1.30,1,0.40,0.10,0.30,2.20
99158,0.70,98.70,0,0,0.20,0,0,0.30
99159,3,95.30,0.10,1,0.20,0,0.10,0.70
99160,0,97.40,0,2,0,0,0.90,0
99161,1.20,96.10,0,1,0.10,0,0.30,1.40
99163,3.70,82.20,2.20,1,8,0.30,0.10,2.80
99166,2.50,91.40,0.30,2,0.20,0.10,0.20,3.30
99169,3.40,94.20,0.20,1,0.40,0,0,1.30
99170,0.70,96.80,0.30,1,0.20,0,0.10,0.60
99171,1.70,96.50,0,0,0.40,0.10,0,0.80
99173,1.90,84.80,0.30,9,0.20,0,0.20,3.50
99181,1.80,94.70,0.20,2,0.20,0.40,0.20,0.70
99185,1.10,94.10,0.20,2,0.10,0.10,0,2.70
99201,4.20,82.40,3.40,5,1.50,0.10,0.20,3.40
99202,4.30,80.40,4.60,2,3.50,0.30,0.20,4.40
99203,2.20,92.30,0.90,1,1.60,0.10,0.10,2.10
99204,3.40,86.20,2.50,2,2.20,0.20,0.30,3.50
99205,2.70,90.20,1.30,1,1.70,0.10,0.10,2.40
99206,2.70,92.10,0.90,1,1.20,0.10,0.10,1.90
99206,2.70,92.10,0.90,1,1.20,0.10,0.10,1.90
