School District,Principal - Good,Principal - Bad,Teacher - PGO Good,Teacher - PGO Bad,Teacher - Good,Teacher - Bad
Wahkiakum School District,2,0,0,0,27,0
Wahluke School District,6,0,0,0,112,3
Waitsburg School District,1,0,0,0,22,0
Walla Walla Public Schools,23,0,177,0,206,0
Wapato School District,10,1,0,0,208,2
Warden School District,3,0,0,0,63,0
Washougal School District,8,1,0,0,173,2
Washtucna School District,1,0,0,0,14,0
Waterville School District,2,0,0,0,19,0
Wellpinit School District,1,0,0,0,34,0
Wenatchee School District,20,0,149,0,272,0
West Valley School District (Spokane),13,0,0,0,235,0
West Valley School District (Yakima),13,0,0,0,275,0
White Pass School District,1,0,0,0,32,0
White River School District,8,0,22,0,186,2
White Salmon Valley School District,4,0,0,0,61,0
Wilbur School District,1,0,0,0,20,0
Willapa Valley School District,1,0,5,0,9,0
Wilson Creek School District,0,0,0,0,12,1
Winlock School District,2,0,0,0,43,0
Wishkah Valley School District,0,1,0,0,13,0
Wishram School District,1,0,0,0,10,0
Woodland School District,5,0,16,0,105,2
Yakima School District,41,0,0,0,787,0
Yelm School District,13,0,48,0,312,0
Zillah School District,5,0,0,0,82,1
