ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98126,9.10,6.50,42,11.10,15.10,9.40,24.80,16.20,0.40,21.20,7.80,12.70,9.90,9.80,2,3.80,2,13.50,47519
98133,9.50,5.60,36.80,11,16.20,13.60,28.30,19.80,0.40,20.60,8.30,10.40,10.10,7.10,1.40,3.10,1,10.70,41743
98133,9.50,5.60,36.80,11,16.20,13.60,28.30,19.80,0.40,20.60,8.30,10.40,10.10,7.10,1.40,3.10,1,10.70,41743
98134,0,27.30,17.90,0,41.40,50,20.70,0,0,0,20,22.70,0,0,0,36,0,69.30,27083
98136,4.40,2.40,52.20,10.40,9.20,11.60,25,13.90,0.30,21.70,6.20,15.10,7.20,10,4.80,3.10,5.70,3.90,56455
98144,14.80,6.50,40.70,9.90,19.10,12.30,23.70,15.10,0.20,17.70,5.10,10,11.30,7.50,2.60,3.50,3.50,15.50,40693
98146,8.20,4,29.50,10.90,15.70,11.60,25.50,19.90,0.40,21.60,10.20,13,18.60,6.80,2.30,3.30,1.70,10.60,46321
98146,8.20,4,29.50,10.90,15.70,11.60,25.50,19.90,0.40,21.60,10.20,13,18.60,6.80,2.30,3.30,1.70,10.60,46321
98148,7.60,7.40,25.10,12.90,16.80,18,28.60,18.90,0.30,19.40,9.30,7.30,19.80,6.40,1.10,3.70,1,10.60,37411
98148,7.60,7.40,25.10,12.90,16.80,18,28.60,18.90,0.30,19.40,9.30,7.30,19.80,6.40,1.10,3.70,1,10.60,37411
98148,7.60,7.40,25.10,12.90,16.80,18,28.60,18.90,0.30,19.40,9.30,7.30,19.80,6.40,1.10,3.70,1,10.60,37411
98155,4.50,3.30,45.80,7,12,12.50,26.10,16.90,0.10,22.10,6.80,16.50,9.30,11.80,3.20,3.60,2.20,6.40,55863
98155,4.50,3.30,45.80,7,12,12.50,26.10,16.90,0.10,22.10,6.80,16.50,9.30,11.80,3.20,3.60,2.20,6.40,55863
98166,7.40,4,40.10,11.50,13.20,12.80,26.40,13.90,0.30,18.10,6.70,14,13.40,11.40,3.80,1.70,3,6.80,50310
98166,7.40,4,40.10,11.50,13.20,12.80,26.40,13.90,0.30,18.10,6.70,14,13.40,11.40,3.80,1.70,3,6.80,50310
98168,7.10,4.80,23.40,13.90,18.60,13.90,26.80,21,0.40,20.40,12.20,11.60,18.50,5.90,0.90,3.80,0.50,11.70,41097
98168,7.10,4.80,23.40,13.90,18.60,13.90,26.80,21,0.40,20.40,12.20,11.60,18.50,5.90,0.90,3.80,0.50,11.70,41097
