ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98941,12.90,9,27.20,14.40,25.80,11.40,21.60,21.70,0.40,13.30,12,10.30,13,5.90,1.10,4.90,0,12.20,36250
98942,6.30,5.10,32.40,11.70,17,13.40,24.60,18.30,2.20,25.40,9.10,11.10,14.70,6.90,0.60,3.10,1.20,8.90,46418
98944,11.40,8.30,22.80,18.80,13.80,19.40,16.30,15.20,23.70,15,6.10,8,17.40,2.40,1.20,11.20,0.40,29.50,30689
98946,2.90,3.50,27.50,14.50,18.50,20.20,23.60,27.70,2.60,16.20,9.40,8.70,18.50,5.20,0.60,2.60,0.60,4.70,40804
98947,11.20,9.70,18.20,15.70,16.20,13.60,19.60,15.70,18.90,23,7,4.70,20.10,4,0.50,3.40,2,24.20,34866
98948,14.60,10,20.80,19.60,14.70,16.20,18.60,19.30,21.10,12.60,9.20,5.10,15.60,1.80,0.20,9.60,0.60,30,28218
98951,15.20,9.20,20.70,15.70,16.30,19.10,18.40,17.90,21.20,12.40,5.10,4.30,18.40,4.10,0.50,11.10,1.60,26.60,30417
98952,16.30,6.70,18.80,13.60,20.50,15.50,21.20,11.30,12.60,21.40,11.20,11,15.70,4.20,0,18.80,0,31,33700
98953,8.10,5.30,28.90,19.10,14.90,13,21.30,19.10,12.90,20.60,9,8.60,13,4.10,0.60,4.40,1.40,18.50,36438
99001,12.80,9.20,24.70,25.40,18.40,14.90,26.30,14.70,0.90,15.80,5.90,4.20,23.80,0.80,1.30,4.60,1,21.70,27571
99003,4.80,9.10,30.10,11.70,18.30,13.90,21.40,18.10,1.70,24.30,14.20,10.90,14.20,5.70,0,4.70,1.40,9.50,44345
99003,4.80,9.10,30.10,11.70,18.30,13.90,21.40,18.10,1.70,24.30,14.20,10.90,14.20,5.70,0,4.70,1.40,9.50,44345
99004,18.20,7.30,35.30,14.80,18.10,12.20,28.30,15.90,1,17.70,7.70,7.70,9.70,5.10,0,6.90,1,20.70,31465
99005,2.50,4.60,42.80,7.20,11.90,8.30,24.60,16.50,1.10,22.20,9.40,15,10.20,19.90,2.40,2.80,1.40,4.10,61098
99006,10,7.70,24.20,12.60,17.80,14.10,25.20,20.50,1.70,21.10,13,6.80,18.10,5.50,0.70,6.10,1,11.70,39663
99011,2.30,5,21.90,16.60,21.10,31.60,32.20,22.40,0,16.70,10.10,3.20,14.60,1.70,0.50,3.50,0,8.80,33560
99016,6.50,5.70,27.40,14.70,14.50,11.90,32.10,25.80,0,20.90,10.90,7.40,15.20,5.80,1,4.30,0.30,8,40638
99016,6.50,5.70,27.40,14.70,14.50,11.90,32.10,25.80,0,20.90,10.90,7.40,15.20,5.80,1,4.30,0.30,8,40638
99017,3.70,6.20,43.90,22.20,8.20,25.90,17.30,21,9.20,12.30,12.20,4.90,9.20,0,0,2.90,3.70,6.60,33194
99019,3.30,1.50,48.60,8.20,10.60,6.30,28.20,18.60,0.30,27.30,5.20,17.40,7,10.20,3.80,1.20,3.30,3.60,60667
99021,5.20,4.80,37,12.40,13.30,10.70,26.90,16.60,0.20,24.90,10.20,15.60,12.60,6.40,2.40,4,1,6.50,50247
99022,6.80,4.40,30.80,11,26.40,12.60,20.90,16.10,0,28.90,7.60,13.10,14.30,6.10,0.50,3.70,0.50,7.90,49254
99025,2.30,5.70,28.30,8.70,9.80,10,30.30,21.40,0.80,28.80,11,15.50,19.70,5.10,1.50,5.40,1.10,4.70,51495
99026,3.20,2.90,40.40,6.70,15.20,7.60,21.30,24.90,1,27.80,9.20,17,12.90,7.60,1.40,2.60,1,5.90,53521
99027,6.60,5.50,29.60,12.70,11.20,15.90,27.20,17.20,0.40,22,16.40,14,15.30,2.90,2.40,3.40,0.80,6.90,42750
99029,5.70,5.50,27.80,12.50,20.30,20.40,24.60,19.80,5.90,21.80,11.30,8.30,10.10,3.80,1.80,2.50,0.40,6.90,40521
99030,6.90,5.80,26.90,18.20,15.70,15.30,24.30,22.30,1.30,22.60,14.80,2.60,17,6.20,0,4.40,0,8.90,37273
99031,5.80,3.60,33.70,6.10,12.60,7.20,23.90,27.80,0,26.90,17.10,14.70,12.80,6.40,0,1.40,1.40,6.80,49545
99032,8.40,9.80,31.60,17.90,20.70,24,23.20,13.90,3.20,14.50,10.90,6.40,10.50,4.40,0.70,3.40,0,13.90,30385
99033,8.30,12.80,22.70,19.40,21.90,14.40,20.70,24.40,4.80,9.20,9.70,8.10,20.20,1.90,1.40,1.70,0,15.30,31389
99037,5.20,5.20,37.10,9.10,12.80,10.80,31.10,18.80,0,25.30,5.90,10.70,13,10.30,1.80,3.20,2.80,5.40,50429
99040,16.80,8.80,44.60,19.90,18.80,22.20,18.50,10.40,5.10,15.50,6.90,3.40,6.20,3,0,11.40,0,30.90,27798
99101,11.50,7.20,34.40,22.40,17.20,14.80,21.20,19.30,3.10,17.70,13,6.20,11.10,0.60,0.20,7.90,0.20,18.40,30885
99103,11.70,10.70,34.40,12.10,12.90,23.80,18.30,15.90,9.80,13.60,12.10,8.40,12.50,2.80,0,5.70,0.90,18.90,31406
99105,9.10,0,43.80,27.30,6.30,13.60,21.90,9.10,15.60,18.20,0,22.70,12.50,0,0,0,0,3.70,37500
99109,12.80,9,26.40,18.40,20.30,12.50,21.40,17.40,3,19.50,12.50,6,16.50,2.70,1,5.30,0.70,15.30,31389
99111,7.90,8.40,34,14.70,15.60,15.90,27.60,20,2,19.20,10.10,9.30,10.70,3.10,1.10,2.70,0.40,9,37259
99113,2.20,5.10,46.40,9.10,13.70,17.50,21.60,18.90,4.10,25.50,7.50,9.80,6.70,10.20,1.10,1.30,0.70,6,48438
99114,11.50,8.90,28.90,18.60,16.80,13.20,23.60,18.60,2.60,17.10,10.80,7.20,17.30,2.70,0.90,5.70,1.20,14,32989
99115,17.30,7.20,32.80,16.40,16.70,11.90,21.20,17.50,6.10,18.90,11.30,6.40,11.80,2.70,1,4,0.60,18,31827
99116,10,6.10,40.50,14.60,18.70,20.10,22.10,18.50,1.30,19.10,6.90,8.70,10.50,1.70,1,5.50,0.10,16.40,34471
99117,14.60,10.60,27.90,16.90,23,18.90,25.50,18.50,1.50,15,6.90,2.80,15.20,2.80,0,5.70,0,17.20,30526
99118,15.30,10.30,37.60,17.70,13.60,14.60,18.90,16.10,2.50,18.80,15.90,5,11.30,2.10,0,14.60,0,28.10,28864
99119,15.90,12.70,29,17.80,19.20,12.90,29,16.30,5.20,15.30,8.80,5.80,8.80,2.20,0.40,8.50,0.60,19.50,26331
99122,9.70,6.30,41.80,16.20,14.20,12.80,23.70,22.20,1.70,19.20,12.10,6.80,6.40,4,1.40,3.20,1.20,11.10,37138
99125,11.20,7.50,37.80,13.30,22.20,18.70,16.30,25.70,12,15.80,0.60,2.90,11.10,4.10,0.80,18.70,0,14.80,33750
99130,10.50,6.20,38,18.40,16.40,13,18.20,23,2.20,17,9.90,8.10,15.30,2.20,1.10,2.30,0.50,14.10,35625
99131,14.60,8.50,22.70,15.90,7.60,1.20,19.70,13.40,16.70,28,10.60,9.80,22.70,8.50,0,2.50,0,20.40,46250
99133,13.70,13.50,30.70,18.10,23.50,10,21,16.10,1.50,18.10,12.50,7.90,10.70,2,0.70,3.50,0,17.30,31118
99134,15.80,10.70,38.80,12.90,18.30,16.50,17.90,18,8.80,15.40,7.90,6.30,8.30,2.90,1.50,3.40,0,14.40,32273
99137,24.60,9.80,39.60,18,10.90,17.20,20.80,18,0,9,10.90,1.60,17.80,1.60,0,0.90,0,33.60,22143
99138,18.50,14.70,33,20.50,22.40,8.20,23.50,16.50,2.50,14.50,8.30,3.60,10.20,3.10,0,20.80,0.40,18.80,23625
99139,15.70,12.40,20.20,18.30,17.30,12.40,20.50,17.70,3.50,13.60,18.20,7.10,20.20,1.40,0,5.50,1.20,14.40,29688
99140,23.20,11.90,40.80,15.90,21.50,19.20,20.80,15.90,5.40,11.90,8.50,2,3.10,0,0,16.30,0,28.80,24464
99141,13.10,8.30,27.40,15.50,14.90,17.70,23.90,18.50,4.70,19.10,9.60,5.50,19.50,1.50,0.40,5.90,0.20,15.60,32884
99143,7.80,6.90,45.30,18.40,8.50,19.40,14.70,20.90,12.90,15.90,5.60,7.80,12.90,2.50,0,1.70,0.30,8.40,33889
99148,7.40,6.40,29.60,18,16.60,14.90,20.90,23.10,1.60,14.70,14.20,7.30,17.10,6.80,1.10,4.30,0.30,12.80,36806
99153,21,14.50,24.30,16.50,24.30,11,17.10,10.50,1.70,15,9.90,10,22.70,0,1.50,4.40,0,26.40,23889
99155,17,10.30,31.80,19.70,21.30,15.40,26.60,14.30,4.80,11.40,9.80,7.30,5.80,4.60,0,16,0,27.80,26833
99156,14,8.60,28.40,14.90,17.50,14.30,19.60,19.60,1.70,15.90,13,6.50,19.80,5,0.50,4.80,0.80,19,33390
99157,12.80,16.10,22.80,24.50,17.50,15.80,18,9.90,9.20,12.50,13.20,6.20,19.30,1.50,0,6.90,0.70,24.50,22841
99158,4.60,8.50,40.80,17.70,15.50,17.30,18.80,19.20,3.60,23.50,9.70,7.70,11.60,1.50,0,1.10,0,9.50,37708
99159,8.70,5.40,37.70,16.90,13.80,18.30,21.10,19.30,6.20,18.80,11.40,7.40,9.80,4.40,0,2.20,0.80,15,35433
99160,15.70,19.60,5.10,21.60,12.80,15.70,64.10,13.70,5.10,7.80,7.70,0,5.10,5.90,0,5.70,0,20.80,18542
99161,7.90,4.40,39.90,16,18.50,18.10,21.50,20.70,3,19.70,9.40,8.10,7.60,3,2.10,2.30,0,8.40,37955
99163,23.30,14.60,50.20,14.60,18,10.90,24.80,9.80,0.50,13.30,2.70,6.30,3.70,5.10,1.40,7.20,0.80,35.40,22418
99166,13.70,11.50,31.90,16.40,16.60,14.70,18.30,16,3.10,17.90,15.80,5.40,14.30,2.90,0.80,6.50,0.70,17.30,30689
99169,10.50,8.40,31.40,15.90,18.10,11.80,23.50,23.90,5.20,16.40,12.70,7.50,9.20,3.10,0.90,3.10,1.50,12.70,37308
99170,11.30,7.10,38.30,18.10,15.40,15.90,21.70,19.50,2.60,17,6.70,5.10,15.20,3.50,0.40,2.30,2,13.40,33625
99171,6.30,12.30,37.80,15.50,17.80,15.50,20.20,21.40,4.60,16.60,9.30,8.10,10.20,2.60,0.70,1.20,0.90,11,35150
99173,17.30,12.80,25.10,20.30,17.10,12.40,22.60,14.60,3,15.20,11.30,5.80,20.90,0.90,0.60,7.60,0,27.70,24826
99181,13.30,10.70,27.30,12.60,16.10,14,17.20,24.50,5.30,14.50,16.10,5.60,18,3.50,0.70,7.10,0.60,20.60,34676
99185,10.50,7.40,33.40,15.50,16.90,16.70,23.20,19.80,4.70,22.40,11.10,5.30,10.80,1.70,0.30,4.50,0.30,15.60,34948
99201,31.60,14.70,26.90,19.70,22.60,12,26.30,9.50,0,9.10,9.90,1.60,14.30,0.70,0.30,10.10,0.80,31.50,16257
99202,18.50,11.60,25.30,19.90,21.50,14.70,29.40,15.30,0.80,12.40,9.20,3.70,13.90,1.90,0.70,10.10,1.30,26.50,25053
99203,5.70,5.20,53.10,11.50,12.70,12.60,23.20,16.20,0.40,21.30,4.50,11.30,6.10,10,2.50,2.40,3.60,6.20,48939
99204,23.80,11.10,34.30,20.60,25.40,16.60,27.30,12,0.20,7.40,3.90,4.30,8.90,2.70,0.80,7,0.80,27.90,21158
99205,9,7.60,29.20,15.40,18.60,18.40,29.80,20.60,0.40,19.40,9.10,6.30,12.90,2.90,0.20,5.50,0.30,12.40,34778
99206,8.70,6.40,30.10,15,16.30,14,31.10,18.70,0.10,21.20,8.60,9.50,13.90,4.30,1.30,3.50,0.80,9.50,39535
99206,8.70,6.40,30.10,15,16.30,14,31.10,18.70,0.10,21.20,8.60,9.50,13.90,4.30,1.30,3.50,0.80,9.50,39535
99207,15,10.80,20.60,20.10,22.50,19,28.10,17.50,0.30,12.70,10.90,2.60,17.60,1.80,0.20,6.70,0.40,22.30,27095
99208,6.50,5,37.70,12.20,15.60,12.60,30.70,16.90,0.50,22,6.20,12.60,9.20,8.90,1.70,3,1.70,7.20,46311
99212,8.50,7.50,27.10,18.40,15.70,14.70,29.60,16.80,0.70,20.30,10,7.30,16.90,4.20,1.80,4.30,0.50,12.50,35572
99216,7.40,4.80,27,16,16.60,17.50,30.10,21.60,0.30,21.10,9.70,7.50,16.40,3.50,0.30,4.20,0.40,8.50,37930
99216,7.40,4.80,27,16,16.60,17.50,30.10,21.60,0.30,21.10,9.70,7.50,16.40,3.50,0.30,4.20,0.40,8.50,37930
99217,7.40,5.80,26.90,15.50,18.40,17.20,24.50,16.70,0.20,22.60,12.80,6.80,17.30,4.90,1.30,5.10,1.80,12,38902
99218,4.70,7,39.20,16.20,15.90,11.70,30.70,14.80,0.30,20.30,5.90,14.10,8,6.80,2.60,11.10,1.80,8.70,43320
99223,5.50,5.90,46.60,10.20,12.80,11.20,28.20,14.70,0.30,21.40,4.60,13.80,7.50,10.70,3,3.30,3.60,6.60,51774
99224,7.20,6.80,37.10,14.50,14.60,16,28.20,18.20,0.60,19.90,9.90,7.40,9.80,7.10,1.10,5.80,1.80,11.70,38890
99301,11.30,6.30,24.90,15.20,16.30,11.40,21.10,18.20,10.20,18.20,9.50,10,17.90,6.60,1.70,7.10,1.10,19.40,39786
99320,5.30,7,32.80,10.30,14.30,13.40,20.80,19.80,3.80,25,14.30,11.50,14,5.80,1.30,5.50,0.70,10.80,46352
99322,5.60,9,42.70,11.20,9.40,10.10,18.80,20.20,12.80,22.50,7.70,6.70,8.50,12.40,2.20,3.90,0,9.10,42031
99323,1.40,3.30,30.10,14.50,15.10,10,22.40,20.20,1.60,30.30,15,13.90,15.80,4.20,2.30,3.80,0,6.10,50299
99324,13.60,7.40,38.60,22.30,20.10,13.30,24.10,14.60,2.80,19.20,9,5,5.40,4.30,0.40,4.90,0,15.40,30629
99326,8.70,7.40,24.60,14.40,16.50,17.50,17.80,16,13.70,25.20,8.80,5,18.60,3.70,0.50,5.60,1.50,18.20,36220
99328,9.20,9.60,30.90,17.50,18.30,15.50,22,19.90,5.20,17.80,10.50,6.20,13.20,2.80,0.30,5.50,1.20,12.50,32130
99329,8.80,6.60,29.50,18.70,20,22,10.50,24.20,4.20,12.10,25.30,1.10,10.50,4.40,0,6.30,2.20,3.30,32708
99335,8.50,5.40,30.70,13.20,18.30,10.90,17.60,30.20,4.60,24,12.40,2.30,16.30,5.40,0,0.40,0,18.30,38750
99336,8.20,7.90,29.40,17.30,16.90,14.70,26.70,17,2,18.70,11,10.10,14,4.30,0.60,4.80,1.10,15.90,36100
99337,3.60,4.30,33.20,8.60,14.90,12.70,25.60,16.90,1.20,24.80,13.10,16.70,12,9.40,1.90,4.60,1.10,5.60,52068
99338,2.10,1.20,45.50,5.60,11.10,5,22.80,13.50,0.80,24.60,10.80,26.50,8.90,16.20,2.80,2.70,2.40,2.80,72654
99341,7.20,3.90,32.40,17.70,13.80,16.60,21.40,28.20,5.50,19.10,13.60,3,13.30,3.90,0,7.70,0.60,11.20,38594
99343,6.70,4.80,19.30,18.40,11.20,13.70,14,23.80,34.90,17.70,8,6.30,12.60,5,0.80,6.30,2.70,17.80,37674
99344,7.20,7.30,22.10,19,12.80,19.60,15.80,20.70,20.90,18.40,9,4.10,19.40,2.50,0.40,5.90,0.80,19.40,32615
99345,0,10.60,24.10,13.60,9.80,15.20,7.10,22.70,33,21.20,10.70,15.20,15.20,1.50,0,5.30,0,14.90,38750
99347,11.30,8.10,38.70,17,14.40,13.80,24,16.90,3.40,20.70,8.20,6.30,11.30,5.10,0.50,2.50,0.40,13.20,34844
99348,9,7.70,22.10,13.60,9.60,18.90,12.70,24.60,37.40,16.50,8.50,4.70,9.80,2.60,1.60,3.10,0.60,20.70,35324
99349,5.80,5.60,13,20,13.40,20,8.70,23.10,51.20,13.40,3.20,7,10.50,3.80,0,8.80,1.40,21.90,34167
99350,8.70,5.90,26.20,15.30,11.20,12.90,21.20,19.90,16.10,21.20,10.10,10.20,15.10,3.80,1,5.10,1,16.30,39055
99352,6.10,5,50.90,9.10,12.50,11.60,21.30,15.20,0.60,22.40,6.20,14.10,8.50,11.90,2.60,2.80,2,8.20,53169
99353,4,4.20,43,9.50,13.80,10.90,24.60,12.80,0.40,27.50,10.10,19.30,8.20,9.60,1,3.80,1.20,4.60,57358
99356,6.10,1.50,35.30,24.20,1.20,15.20,12.90,19.70,22.40,16.70,14.10,10.60,14.10,6.10,0,0,0,21.40,41250
99357,9.40,10.70,22.10,22.50,8.30,14.10,9.10,20.80,40.20,11.40,7.50,8.30,12.90,1.70,0,8.60,1.10,25.30,28725
99359,30.30,33.30,10.50,0,10.50,12.10,21.10,6.10,0,18.20,31.60,0,26.30,0,0,3.60,0,31.70,13393
99360,9,4.40,36,15.90,14,15.10,23,22,6.70,20.20,8.20,5.90,12.10,7.10,0,2.30,0.50,14.70,37895
99361,11.30,9.40,30.50,11.30,19,14.20,19.80,20.40,3.30,19.90,12.90,6.90,14.50,5.30,0.50,1.90,0.80,11.90,38269
99362,10.90,9.20,36.10,16.50,19.50,12.50,24.10,15.80,2.80,19.70,7.80,8.40,9.60,4.90,1.10,5.20,1.10,15.90,35841
99371,8,4.60,33.50,20.10,12.10,11.50,22,23,6.60,19.50,8.20,9.80,17.60,2.30,1.10,5.10,0,15.90,40192
99402,8.50,8.90,32.90,11.80,17.20,16.50,21.30,19.10,2.60,20,10.10,7.10,15.90,5.20,1.20,4.80,1.70,18.10,37188
99403,10.50,7.90,28.20,18.80,19.30,15.10,25.20,17.90,1.20,16.20,10.60,7.30,15.60,4.50,0.80,3.90,1,15.20,33161
