ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
98280,48.594255,-122.91828,378,59.89,288,6.31,0.04
98284,48.518653,-122.165459,22940,97.98,8999,234.13,0.97
98286,48.575362,-122.966438,235,30,224,7.83,0
98288,47.658047,-121.414451,433,1.67,367,259.74,4.09
98290,47.930902,-122.039763,29394,294.39,10971,99.85,1.32
98292,48.222046,-122.389617,31532,269.79,13784,116.88,15.19
98294,47.86527,-121.78899,5621,125.08,2198,44.94,0.07
98295,48.971298,-122.201467,4826,70.01,2110,68.94,0.31
98296,47.846083,-122.110687,19475,551.48,6592,35.31,0.15
98297,48.701835,-123.026362,104,22.27,174,4.67,0
98303,47.16438,-122.695845,2416,168.03,748,14.38,0.23
98304,46.75523,-122.015442,794,24.74,701,32.09,0.04
98310,47.58675,-122.623715,18718,2756.72,8701,6.79,0
98311,47.629717,-122.634935,23582,2431.91,8730,9.7,0.03
98311,47.629717,-122.634935,23582,2431.91,8730,9.7,0.03
98312,47.564437,-122.712935,31968,499.58,13642,63.99,1.26
98312,47.564437,-122.712935,31968,499.58,13642,63.99,1.26
98320,47.705616,-122.928682,1197,13,1178,92.04,0.01
98321,47.155649,-122.052559,14652,401.88,5241,36.46,0.08
98323,47.035525,-121.951002,719,7.03,246,102.21,0.29
98325,47.974586,-122.783823,1348,53.52,547,25.19,0.19
98326,48.181608,-124.41188,550,4.36,409,126.16,0.05
98327,47.088719,-122.643266,2173,372.79,918,5.83,0.02
98328,46.884733,-122.292373,8785,65.69,3531,133.73,3.64
98329,47.378121,-122.722208,9257,363.36,3529,25.48,0.11
98331,47.838423,-124.358886,6220,15.61,2599,398.48,2.16
98332,47.364321,-122.600116,13130,626.59,5032,20.95,0.06
98335,47.301252,-122.605626,22953,1028.19,9244,22.32,0.02
98337,47.569167,-122.634799,8332,5233.43,3339,1.59,0
98338,47.028423,-122.291008,20694,386.68,7323,53.52,0.09
98339,48.036882,-122.759908,3498,204.73,1575,17.09,0.02
98346,47.807359,-122.519624,8278,275.2,3452,30.08,0.05
98349,47.268551,-122.768977,3875,176.39,2087,21.97,0.24
98350,47.905815,-124.622021,371,71.92,128,5.16,0
98354,47.248208,-122.317376,5678,2468.51,2412,2.3,0.04
98356,46.562676,-122.295145,2158,20.28,1011,106.39,0.05
98357,48.35306,-124.640767,1356,31.77,532,42.69,2.04
98359,47.43025,-122.571595,3927,330.67,1488,11.88,0
98360,47.039607,-122.146911,7524,57.49,2748,130.88,0.15
98362,48.097144,-123.406281,21274,87.41,10040,243.38,0.17
98363,48.102836,-123.637654,12167,32.76,5686,371.39,9.25
98366,47.53587,-122.599055,31594,1316.04,12416,24.01,0.04
98367,47.470971,-122.663356,24502,295.9,9038,82.8,0.95
98368,48.100255,-122.797363,12818,238.44,6619,53.76,0.22
98370,47.743302,-122.630413,25267,442.8,10233,57.06,0.01
98371,47.196272,-122.315778,20215,1631.78,8487,12.39,0
98371,47.196272,-122.315778,20215,1631.78,8487,12.39,0
98372,47.198591,-122.271315,20928,1559.5,8643,13.42,0.01
98372,47.198591,-122.271315,20928,1559.5,8643,13.42,0.01
98373,47.147862,-122.318644,16922,1793.62,6865,9.43,0
98374,47.140045,-122.260122,29098,1749.55,10550,16.63,0.07
98375,47.112477,-122.322471,14052,1538.34,4884,9.13,0
98375,47.112477,-122.322471,14052,1538.34,4884,9.13,0
98376,47.826111,-122.852339,1767,18.06,1046,97.84,0.4
98377,46.525156,-121.850948,2043,8.37,989,244.14,0.21
98381,48.283826,-124.371444,1484,56.13,462,26.44,0
98382,48.079979,-123.099166,21547,173.35,11019,124.3,0.02
98383,47.667257,-122.690554,19298,1104.5,7600,17.47,0.07
98387,47.077796,-122.405179,35899,580.44,12686,61.85,0.39
98388,47.164965,-122.600507,6278,846.07,2769,7.42,0
98390,47.196364,-122.188708,45264,845.58,16645,53.53,0.28
98390,47.196364,-122.188708,45264,845.58,16645,53.53,0.28
98390,47.196364,-122.188708,45264,845.58,16645,53.53,0.28
98392,47.735065,-122.557511,2362,1340.44,1046,1.76,0
98394,47.336226,-122.783098,786,181.47,423,4.33,0
98402,47.247671,-122.439711,4935,4362.58,2687,1.13,0
98403,47.263971,-122.45879,7777,7945.26,4522,0.98,0
98404,47.212421,-122.415602,30679,4002.3,10752,7.67,0.01
98405,47.248953,-122.465992,22355,5470.21,9890,4.09,0.02
98406,47.26302,-122.495185,23511,5328.54,10131,4.41,0
98407,47.28392,-122.504335,20523,3666.8,9119,5.6,0
98407,47.28392,-122.504335,20523,3666.8,9119,5.6,0
98408,47.209021,-122.444983,29095,5760.24,11509,5.05,0.04
98409,47.208987,-122.480534,21988,3049.13,9309,7.21,0.03
98422,47.296007,-122.398356,19726,2632.88,7817,7.49,0
98424,47.242186,-122.359167,4836,809.84,2278,5.97,0
98433,47.080682,-122.579876,19645,296.67,3651,66.22,0.24
98433,47.080682,-122.579876,19645,296.67,3651,66.22,0.24
98439,47.12562,-122.522941,6794,1066.76,2198,6.37,0.01
98439,47.12562,-122.522941,6794,1066.76,2198,6.37,0.01
98443,47.202874,-122.376787,5593,1172.01,2132,4.77,0
98444,47.153571,-122.448507,31712,4720.32,12665,6.72,0.05
98445,47.148269,-122.411961,22412,2269,8447,9.88,0
98446,47.1309,-122.375891,9178,827.73,3666,11.09,0.03
98465,47.247735,-122.528183,6564,4006.94,3097,1.64,0
98466,47.230402,-122.532728,24598,3693.48,11052,6.66,0
98466,47.230402,-122.532728,24598,3693.48,11052,6.66,0
98466,47.230402,-122.532728,24598,3693.48,11052,6.66,0
98467,47.203946,-122.529967,15165,3975.85,6051,3.81,0.01
98498,47.16062,-122.558779,28894,3008.49,12032,9.6,0.08
98498,47.16062,-122.558779,28894,3008.49,12032,9.6,0.08
98499,47.16632,-122.508443,28959,3257.91,13087,8.89,0.33
98501,47.014718,-122.8819,33049,892.62,14611,37.02,0.58
98501,47.014718,-122.8819,33049,892.62,14611,37.02,0.58
98502,47.071484,-122.977026,26142,475.78,11573,54.95,0.84
98503,47.027082,-122.803595,32466,2962.68,13495,10.96,0.78
98506,47.069339,-122.872496,17406,773.33,7777,22.51,0.34
98506,47.069339,-122.872496,17406,773.33,7777,22.51,0.34
98512,46.969793,-122.998022,24173,166.92,10146,144.82,1.21
98512,46.969793,-122.998022,24173,166.92,10146,144.82,1.21
98513,47.00581,-122.752859,24030,368.78,9191,65.16,0.94
98513,47.00581,-122.752859,24030,368.78,9191,65.16,0.94
98516,47.085046,-122.783761,14453,543.98,5884,26.57,0
98520,46.972965,-123.819235,21662,189.14,9758,114.53,0.1
98526,47.463965,-124.029389,430,5.72,226,75.22,0.12
98528,47.445292,-122.884177,7860,107.12,4035,73.38,0.3
98531,46.728383,-122.951422,21842,159.87,9337,136.62,0.25
98532,46.630721,-123.01599,20211,76.26,8000,265.04,0.02
98537,46.899189,-123.690705,1793,17.58,769,101.99,0
98538,46.483547,-123.101606,312,9.95,121,31.37,0
98541,47.03575,-123.407135,9163,46.61,4033,196.58,0.21
98546,47.321442,-122.929352,2256,63.34,1564,35.62,1.72
