ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
99201,5.40,31.30,13.50,36.60,32.10,4.60,28.70,8.40,7.90,19.10,8.20,4.30,33.60,81.20,12.50
99202,5.20,36.60,11.80,38.90,28.30,2.30,23.30,7.60,9.70,14.60,13.60,8.20,41.60,83.10,21.80
99203,0.70,20.10,3.20,58.30,13.90,1.50,23.20,8.60,7.50,11.50,30.50,20.90,53.20,96.10,51.40
99204,2.50,45.10,7.90,29.50,19.70,2.80,26.80,4.70,8,18,21.30,13.70,31.40,89.50,35.10
99205,2.90,25.80,8.60,50.30,29.10,1.40,28.70,7.70,10.20,14.80,14.10,6.30,54.80,88.50,20.40
99206,3,24.20,7.60,54.50,27.50,1.90,29.40,6.40,10.80,13,15.50,6.20,52.70,89.50,21.80
99206,3,24.20,7.60,54.50,27.50,1.90,29.40,6.40,10.80,13,15.50,6.20,52.70,89.50,21.80
99207,4.70,30.20,14.30,41.30,34.50,2.80,26.90,8.10,10.80,17.70,6,3,45,81.10,8.90
99208,1.90,23,5.10,60.30,24,0.90,27.30,6.80,9.50,9,20.30,11.90,54.50,93.10,32.20
99212,3.60,23.60,9.30,52,29.80,1.70,26.30,7.50,11,15.30,13,7.10,55.70,87.20,20.10
99216,2.70,24.70,7.90,53.50,30.10,1.90,28.90,7.20,11.80,12.80,13.90,4.60,48.10,89.40,18.50
99216,2.70,24.70,7.90,53.50,30.10,1.90,28.90,7.20,11.80,12.80,13.90,4.60,48.10,89.40,18.50
99217,4.20,26.50,10.60,56.10,29.90,1.60,26.60,4.20,10.70,11.50,12.10,6,53.90,85.30,18.10
99218,2.40,22.30,5.80,61,21.30,1.30,25.70,6,9,9.40,21.20,14.60,48.90,91.80,35.80
99223,1.40,21.50,3.30,62.80,17.20,1,24.90,4.70,9.70,9.90,27.10,16.40,55,95.30,43.50
99224,3.70,16.60,8.30,66.70,29.80,1.60,27.70,4.70,8.70,10.40,14.50,7.40,44.80,88,21.90
99301,20.90,27.70,15.80,56.90,23.30,2.40,19.40,4.90,6.50,8.10,9.20,4.90,48.80,63.40,14.20
99320,7.30,20.50,12.30,62.80,27.40,1.40,28.20,3.90,8.80,11.40,10.60,5.30,54.60,80.40,15.90
99322,1.90,15.60,6.90,77.10,26.40,1.70,17,0,16.40,5.60,25.80,5.70,70.50,91.20,31.40
99323,6,19.40,13.90,68.80,26.50,0.70,29.80,3,9,8.10,9.80,5,60.60,80.10,14.80
99324,6.20,32.50,9.20,50.70,20.30,1,21.30,6.10,12,9.60,18.70,12.30,42.10,84.70,31.10
99326,18.70,27.20,13.10,54.90,27.60,4.30,22.20,4,5.60,9.60,9.50,3.30,44.90,68.20,12.80
99328,5.50,17,12,60.30,30.90,2.10,26.80,8.70,7.20,12,11.80,5.80,58.40,82.50,17.60
99329,7.60,12.50,8.90,72.70,36.10,1.10,23.40,6.80,13.30,6.80,9.50,1.30,54.90,83.50,10.80
99335,7.30,28.10,15.10,54.20,26.10,0.40,22.90,2.70,8.70,14.60,17,2.80,57.40,77.50,19.70
99336,8,27.40,11.30,50.80,25.90,2.20,25.50,5.60,9.90,14,13.50,5.90,42.30,80.70,19.40
99337,3.80,19.50,10.80,63.70,27.30,1.40,27.10,4.90,11,10.50,12.60,7.30,59,85.40,19.90
99338,0.20,19,4.40,71.10,19.60,1.10,26.60,3.30,9.70,5.50,24.50,15,60.10,95.40,39.50
99341,4,18.50,13.10,64.50,29.10,1.60,28.80,8.30,11.60,7.20,10.50,2.90,57.50,83,13.40
99343,30.30,28.40,14.10,65.30,20.90,0.10,18.30,2.90,7.70,3.30,6.10,2.60,55.70,55.60,8.70
99344,30.70,25.90,14.70,61,24.80,1.30,15.50,4.50,3.80,7.40,6.80,3.60,53.60,54.50,10.40
99345,36.80,25.20,12.80,68.40,6,0,17.10,1.30,12,5.20,9.40,6,48.40,50.40,15.40
99347,5.80,18.70,9.30,62.20,29.60,1.20,26.80,9.10,11.70,8.90,12.80,4,62.10,84.90,16.80
99348,23.30,22.80,15,69.10,21.40,1.10,23.80,2.30,7.60,4.80,6.10,2.80,49.10,61.70,8.90
99349,42.80,28.20,15.60,64.70,18.50,1.20,13.60,2.20,3,3.70,2.80,3.60,37.10,41.60,6.40
99350,20.10,23.30,16.10,63.20,25.70,1.60,18.80,5.10,5.50,6.90,8.90,5,59.80,63.90,13.90
99352,2.20,22.20,5.20,60.60,19.90,1,24.30,5.50,9.30,10.60,22.50,16.50,51.50,92.60,39
99353,2.70,18.70,6.40,68,22.10,1,28.30,3.60,10.40,8.70,21,9.10,45.70,90.90,30.10
99356,23.70,11.20,11.90,80.80,28,0,12.70,3.20,5.90,4.80,9.30,8.50,45.90,64.40,17.80
99357,36.30,27.20,16.40,62.90,22.60,1.40,11.90,3.40,3.40,5,6.90,2.40,52.70,47.30,9.40
99359,9.60,25.50,21.20,61.80,38.50,0,23.10,3.60,3.80,9.10,3.80,0,52.50,69.20,3.80
99360,7,18.70,6.40,66.80,25,0,31,4.60,10.50,9.90,14.40,5.60,58.70,86.60,20
99361,3,19.90,10,60.60,28.10,1.30,27,8.10,12.70,10.20,12.30,6.90,55.70,87,19.30
99362,9,24.60,10.20,57.40,24.40,1.90,23.70,7.30,9.10,8.80,14.80,8.70,51.80,80.80,23.50
99371,1.70,18.40,6.80,62.30,28.40,0.60,36.80,4.20,8.40,14.50,11.50,6.40,75.50,91.60,17.90
99402,3.80,20.50,9,60,35,2.40,26.90,4.40,9.60,12.80,8.30,7.40,57.50,87.20,15.70
99403,3.10,20.90,11,54.70,32.50,2.20,28.60,7.70,6.50,14.40,11.30,7,51.20,85.80,18.20
