ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98168,7.50,30.90,13.70,48.80,32,2.50,25.50,5.50,7.30,12.30,10.30,3.70,49,78.70,13.90
98168,7.50,30.90,13.70,48.80,32,2.50,25.50,5.50,7.30,12.30,10.30,3.70,49,78.70,13.90
98177,1.10,21.50,4.50,61.90,15,1.20,21.90,6.70,5.70,8.70,34.30,17.40,63.20,94.30,51.70
98177,1.10,21.50,4.50,61.90,15,1.20,21.90,6.70,5.70,8.70,34.30,17.40,63.20,94.30,51.70
98178,5.90,27.80,9.60,50.70,26.70,2.20,26.70,6.50,8,12.80,17,6.20,55.20,84.50,23.20
98188,5.70,31.30,10.20,46.90,29.80,2,26.70,4.60,8.40,15.30,15,4.20,41.80,84.10,19.20
98188,5.70,31.30,10.20,46.90,29.80,2,26.70,4.60,8.40,15.30,15,4.20,41.80,84.10,19.20
98198,4.20,28.10,9.80,49.20,26.90,2.60,29.80,6.90,8.60,13.30,14.60,6.10,45.80,85.90,20.70
98198,4.20,28.10,9.80,49.20,26.90,2.60,29.80,6.90,8.60,13.30,14.60,6.10,45.80,85.90,20.70
98199,1.10,27.80,2.80,53.60,12.10,1.50,23.60,6.10,5.20,10.90,36.20,19,49.80,96,55.10
98201,5.60,35.60,12.80,38.40,27.90,2.80,30.20,6.40,7.80,16.80,11,4.70,37.50,81.70,15.70
98203,3,22.20,9,58.60,25.20,1.10,31.40,4.90,8.10,13.20,16.40,7.10,49.70,88.10,23.40
98203,3,22.20,9,58.60,25.20,1.10,31.40,4.90,8.10,13.20,16.40,7.10,49.70,88.10,23.40
98204,6.40,33.30,12.30,43,28.80,2.40,29.50,4.50,8.90,16.70,10.50,3.50,26,81.30,14
98204,6.40,33.30,12.30,43,28.80,2.40,29.50,4.50,8.90,16.70,10.50,3.50,26,81.30,14
98208,2.30,24.20,7.50,59.40,25.60,1.60,30.30,3.50,10.40,11.30,17.10,6.90,46.40,90.20,24
98220,0,14.30,12.50,73.50,35.10,0,28.50,2.50,3.40,9.70,15.20,5.20,61.50,87.50,20.40
98221,1.50,18.20,9,61.70,24.40,1.20,28.40,7.40,7.40,11.50,20.60,8.80,53.80,89.50,29.40
98223,3.20,20.40,11.50,62.70,31.50,1.70,28.60,4.90,9.30,10.30,12.10,3.80,46.20,85.40,16
98225,3.70,44,8.80,37.80,22.60,1.50,22.80,6,9.20,10.80,22.30,10.60,34,87.50,32.90
98226,2.70,26.60,7.10,57.40,24.60,0.90,26.50,5.10,7.60,10,20.80,10.80,46.70,90.20,31.50
98226,2.70,26.60,7.10,57.40,24.60,0.90,26.50,5.10,7.60,10,20.80,10.80,46.70,90.20,31.50
98230,3.90,21.40,11,60.10,29.40,2.20,28.70,4.60,5.50,11.70,14.50,7,45.40,85.10,21.50
98232,2.10,20.70,3.70,64.90,22,0.90,21.90,4.20,15.90,9.20,18.20,16.30,67.80,94.20,34.50
98232,2.10,20.70,3.70,64.90,22,0.90,21.90,4.20,15.90,9.20,18.20,16.30,67.80,94.20,34.50
98233,6.80,21.50,10.20,60,26.20,2.30,32.30,5.50,8.40,10.60,10.10,5.90,49.70,82.90,16
98235,10.20,13.60,8.50,49.20,25.40,0,49.20,0,0,37.30,6.80,0,35.60,81.40,6.80
98237,3.70,21.50,17.60,55.70,29.80,2.30,28.80,6.30,10,14.20,6.80,3.30,51.30,78.70,10.10
98239,2.40,15.10,4.40,65.50,19.70,1.10,29.70,8.20,10.40,10.10,20.20,13.10,50.20,93.20,33.30
98240,5,21.40,6.70,65.10,38.20,0,28.80,5.50,5.80,7.90,10.60,4.90,66.90,88.30,15.50
98241,7,19.50,18.30,60,30.60,0.40,27.50,7.70,5.90,12.30,6.70,4,57.30,74.70,10.70
98244,2.30,27.50,8.40,60.30,34.60,1.60,30.10,4.40,6.30,6.30,13.50,4.80,58.50,89.30,18.30
98245,0.50,17.90,4.20,57.70,16.90,1.20,32.80,4.60,8.20,18.60,24.60,12.70,43.40,95.30,37.30
98247,6.80,22.70,10.30,63.20,34.50,1.80,26.50,3.90,5.50,8.30,11.70,4.60,58.60,82.90,16.40
98248,4.60,21.70,8.80,61.60,36.10,1.50,25.70,4.50,5.70,10.60,13.40,5.70,50.80,86.70,19
