SchoolName,District name,ZipCodeID,SchoolCity,SchoolID,APNumberOfTestTakers,Enrollment,APTotalTestsTaken,ApPercentOfSchoolInHardClasses,ApGoodScoresPercentPerStudent,APNumberOfHighScores,SATCriticalReadingMean,SATMathMean,SATWritingMean,PsatSophomoreNumberOfTestTakers,PSATJuniorNumberOfTestTakers,PSATSophomoreMathMean,PSATSophomoreCriticalReadingMean,PSATSophomoreWritingSkillsMean,PSATJuniorCriticalReadingMean,PSATJuniorMathMean,PSATJuniorWritingSkillsMean,Graduates,Cohort,Continuing,GraduationRate,ContinuingRate,FailRate,MedianIncome,CostOfLivingIndex,WalkScore,Population,CollegeDegreePercent,MaleToFemaleRatio,MarriedPercent,MedianAge,OwnerOccupiedHomesPercent,DivorcedPercent,SinglePercent,MedianMortgageToIncomeRatio,BachelorsOrHigher,GraduateOrHigher,SomeCollegeOrHigher,UnderHighSchool,LivedInSameHomeForOver5Years,TeacherBadPercent,TeacherPeerBadPercent,PrincipalBadPercent,StaffCostPerStudent,TotalCostPerStudent,StudentToTeacherRatio,TeacherCertificationPercentage,RevenuePercentGoingToBasicEd,EslToBasicEdRatio,AvgTeacherCost,PeoplePerSquareMile,HousingPerSquareMile,PercentWaterInZipCode,Latitude,Longitude,ZipCodeID,EarlyStudentCount,ElementaryStudentCount,HighSchoolCount,MiddleSchoolCount,TotalStudentCount,PreschoolPercent,ElementarySchoolPercent,MiddleSchoolPercent,HighSchoolPercent,MedianHousePrice,AverageRentPrice,ChildrenInPovertyPercent,PoorPercent,Burglary,Theft,CarTheft,ProficientInReadingAndMath,ProficientInReading,ProficientInMath,ViolentCrime,PropertyCrime,Assault,Murder,Rape,Robbery
Edmonds Woodway High School,Edmonds School District,98026,EDMONDS,3123,115,1609,122,0.071472965,0.048625,83,549,551,541,66,184,55.35,53.05,51.4,53.55,53.9,50.925,360,416,4,86.5,1,12.5,56774,236.7,22,34760,34.9,89.6,60.3,38.6,70.3,11.3,28.4,23.7,34.9,10.6,28,6.7,52.2,0.0394736,0.0012391,0,4818.416433,5167.077552,24.67300925,0.908029102,0.564299083,0.097687413,107950.8883,3911.14,1579.114642,0.018930958,47.821568,-122.336517,98026,286,7434,6834,4553,20577,0.013899013,0.361277154,0.221266463,0.332118385,441750,1402.5,3.4,35.3,1080019,3093183,368596,0.645,0.715,0.565,5,119,24.5,0,6,12.5
Issaquah High School,Issaquah School District,98027,ISSAQUAH,3385,334,1892,588,0.17653277,0.14711,490,566,585,557,199,314,54.825,53.275,49.525,53.875,55.2,51.85,435,460,3,94.6,0.7,4.700005,70085,323.3,22,22271,50.6,88.9,61.3,38.2,71,10.3,28.4,23,50.6,16,21.8,3.7,51.4,0,0.4285714,0,4524.783499,4929.122036,24.63778817,0.92022203,0.556125983,0.038202429,102586.9568,421.35,173.8289399,0.000758006,47.522828,-122.02921,98027,222,6965,5321,4090,17823,0.012455816,0.390787185,0.229478763,0.298546822,475000,1250,6,7.8,1079989.5,3093225,368596.5,0.81,0.84,0.78,19,342,18,0,6,6
Tiger Mountain Community High School,Issaquah School District,98027,ISSAQUAH,1540,0,91,0,0,0,0,0,0,0,1,5,0,0,0,30.2,28.875,25.425,29,44,0,65.9,0,34.1,70085,323.3,22,22271,50.6,88.9,61.3,38.2,71,10.3,28.4,23,50.6,16,21.8,3.7,51.4,0,0.4285714,0,4524.783499,4929.122036,24.63778817,0.92022203,0.556125983,0.038202429,102586.9568,421.35,173.8289399,0.000758006,47.522828,-122.02921,98027,222,6965,5321,4090,17823,0.012455816,0.390787185,0.229478763,0.298546822,475035,1250,6,7.8,101,583,51,81,84,78,19,342,18,0,6,6
Inglemoor HS,Northshore School District,98028,Kenmore,3492,147,1632,202,0.090073529,0.048158,108,563,589,552,9,356,65,59.4,57.425,54.575,57.325,51.725,527,552,5,95.5,0.9,3.599998,61813,264.1,46,18194,41.4,95.5,58.3,37.4,70.5,11.1,30.6,23.8,41.4,14.1,26.3,7.1,55.5,0.0167364,0,0,5075.367318,5413.180207,24.75902951,0.923359109,0.572334941,0.047205483,116030.3852,3312.17,1346.532847,0,47.75287,-122.24736,98028,232,7310,6394,4428,19810,0.011711257,0.369005553,0.223523473,0.32276628,476399,1100,6.8,14.5,112,213,42,78,82,73,8,143,18,0,8,2
Kentridge High School,Kent School District,98031,Kent,3640,329,2191,531,0.150159744,0.115659,409,537,572,523,30,251,50.075,46.9,43.775,50.325,54.9,47.575,483,581,3,83.1,0.5,16.4,50958,194.2,68,64181,24.8,93.8,57.4,31.7,57.4,11.2,31.4,23.5,24.8,6,27.3,12.6,42.9,0.0117647,0,0.027027,5058.395282,5474.15343,22.85100325,0.908993417,0.589809055,0.151451753,105070.01,4121.03,1531.771502,0.003198976,47.388461,-122.196446,98031,278,9674,8598,6230,26733,0.010399132,0.361874836,0.2330453,0.321624958,332848,990,5.8,42.3,1018,2665,781,61,65,56,31,343,275,2,67,157
Best Sr High,Lake Washington School District,98033,Kirkland,3855,0,82,1,0,0,0,153,121,138,0,2,0,0,0,11.25,9.875,11.275,26,46,1,56.5,2.2,41.3,69073,326.1,82,30185,51.5,96,53.1,37.2,64.2,13.5,33.4,23.8,51.5,15.9,23,4.3,46.5,0.0286343,0,0,5261.864272,5586.565941,22.53655961,0.904508612,0.605694563,0.054456454,107260.5367,3750.8,1778.765432,0,47.67903,-122.193409,98033,238,10458,6770,5584,24950,0.009539078,0.419158317,0.223807615,0.271342685,647807,1435,1.6,6.8,,,,,,,,,,,,
Family Learning Center,Lake Washington School District,98033,Kirkland,1688,0,145,0,0,0,0,620,566,581,0,1,0,0,0,0,0,0,21,30,6,70,20,10,69073,326.1,82,30185,51.5,96,53.1,37.2,64.2,13.5,33.4,23.8,51.5,15.9,23,4.3,46.5,0.0286343,0,0,5261.864272,5586.565941,22.53655961,0.904508612,0.605694563,0.054456454,107260.5367,3750.8,1778.765432,0,47.67903,-122.193409,98033,238,10458,6770,5584,24950,0.009539078,0.419158317,0.223807615,0.271342685,647807,1435,1.6,13.5,,,,78,84,72.5,3,135,28,0,11,23
International Community School,Lake Washington School District,98033,Kirkland,1706,101,380,275,0.265789474,0.230028,238,657,657,669,31,47,61.075,57.775,57.4,63.9,64.35,62.05,51,51,0,100,0,0,69073,326.1,82,30185,51.5,96,53.1,37.2,64.2,13.5,33.4,23.8,51.5,15.9,23,4.3,46.5,0.0286343,0,0,5261.864272,5586.565941,22.53655961,0.904508612,0.605694563,0.054456454,107260.5367,3750.8,1778.765432,0,47.67903,-122.193409,98033,238,10458,6770,5584,24950,0.009539078,0.419158317,0.223807615,0.271342685,647807,1435,1.6,13.5,,,,78,84,72.5,3,135,28,0,11,23
Lake Washington High,Lake Washington School District,98033,Kirkland,2739,190,991,346,0.19172553,0.130772,236,550,556,539,42,131,52.725,50.825,49.75,53.375,54.075,51.5,289,319,2,90.6,0.6,8.800003,69073,326.1,82,30185,51.5,96,53.1,37.2,64.2,13.5,33.4,23.8,51.5,15.9,23,4.3,46.5,0.0286343,0,0,5261.864272,5586.565941,22.53655961,0.904508612,0.605694563,0.054456454,107260.5367,3750.8,1778.765432,0,47.67903,-122.193409,98033,238,10458,6770,5584,24950,0.009539078,0.419158317,0.223807615,0.271342685,431077,1435,3.3,13.5,207,1053,101,77,85,70,7,183,28,0,11,23
Juanita High,Lake Washington School District,98034,Kirkland,3771,180,994,332,0.181086519,0.131451,241,550,569,535,142,183,52.975,50.825,49.025,53.1,55.425,51,283,293,2,96.6,0.7,2.700005,60043,248.2,58,40127,40.8,91.5,53.8,34.6,62.2,12.6,33.6,24.2,40.8,12.3,27.5,5.3,50.3,0.0286343,0,0,5261.864272,5586.565941,22.53655961,0.904508612,0.605694563,0.054456454,107260.5367,4095.69,1718.356998,0.001013171,47.71828,-122.197026,98034,238,10458,6770,5584,24950,0.009539078,0.419158317,0.223807615,0.271342685,364455,1355,,13.5,,,,,,,,,,,,
