Model,Year, Mileage , Price , CompPrice ,Location, AgeScore , MileageScore , AgeScoreNorm , MileageScoreNorm , CombinedScore ,PriceToScore,VIN,ID,Notes,URL,Ignore?
Corolla,1998,109000,4450,2866.372448,Gig Harbor, 40.23 , 114.78 , 0.40 , 0.34 , 0.35 , 1.55 ,,Q,,http://seattle.craigslist.org/tac/ctd/3507363737.html,
Camry,1998,110000,5000,2834.190868,Roy, 40.23 , 116.47 , 0.40 , 0.34 , 0.35 , 1.76 ,,,,http://seattle.craigslist.org/tac/cto/3504432103.html,Y
Sonata,2005,122400,3990,2823.226763,Lynnwood, 15.25 , 138.18 , 0.15 , 0.40 , 0.35 , 1.41 ,KMHWF25S55A154781,K,Seller removed,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=334586300&listingIndex=2&Log=0,Y
Elantra,2004,121063,4995,2818.709,Everett, 18.38 , 135.77 , 0.18 , 0.40 , 0.35 , 1.77 ,KMHDN46D04U801350,BB,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=329190387&listingIndex=12&Log=0,
Accord,1993,101316,3995,2764.670051,Everett, 61.70 , 102.11 , 0.61 , 0.30 , 0.36 , 1.45 ,1HGCB7676PA071892,,Sunroof,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=329667671&listingIndex=13&Log=0,Y
Civic,1995,107993,4995,2704.062518,Lynnwood, 52.80 , 113.09 , 0.52 , 0.33 , 0.37 , 1.85 ,JHMEG8640SS022161,DD,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=333351979&listingIndex=8&Log=0,
Civic,1998,114290,4500,2702.165481,Seattle, 40.23 , 123.83 , 0.40 , 0.36 , 0.37 , 1.67 ,2HGEJ652XWH502746,,manual,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=335239682&listingIndex=11&Log=0,Y
Elantra,2000,120000,3795,2644.468579,Bellevue, 32.42 , 133.87 , 0.32 , 0.39 , 0.38 , 1.44 ,,L,,http://seattle.craigslist.org/skc/cto/3506730551.html,
Elantra,2001,121763,3488,2644.186589,Port Orchard, 28.70 , 137.03 , 0.28 , 0.40 , 0.38 , 1.32 ,KMHDN45DX1U142593,C,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=333396174&listingIndex=10&Log=0,
Corolla,1995,111000,2500,2619.683705,Tacoma, 52.80 , 118.17 , 0.52 , 0.35 , 0.38 , 0.95 ,,,from a liquidator,http://seattle.craigslist.org/see/ctd/3507239866.html,Y
